"Country_Name","Country.Code","gdp_2006","gdp_2007","gdp_2016","gdp_2017","life_exp_2006","life_exp_2007","life_exp_2016","life_exp_2017","pop_2006","pop_2007","pop_2016","pop_2017","popw_2006","popw_2007","popw_2016","popw_2017","urban_2006","urban_2007","urban_2016","urban_2017","educ_spend2006","educ_spend2007","educ_spend2016","educ_spend2017","net_use_2006","net_use_2007","net_use_2016","net_use_2017"
"Czech Republic","CZE",19193.75482,20151.17812,21863.64166,22754.7526,76.52439024,76.72439024,79.02682927,79.47560976,10238905,10298828,10566332,10594438,7286247,7321482,7002546,6951850,73.533,73.463,73.57,73.675,4.2171,3.86663,5.58738,NA,47.93,51.93,76.4811987,78.71916143
"Denmark","DNK",60892.77158,61174.54163,61370.77562,62356.74311,78.09512195,78.19512195,80.85365854,81.00487805,5437272,5461438,5728010,5764980,3587339,3595618,3664797,3680871,86.098,86.293,87.642,87.757,7.72991,7.6156,NA,NA,86.65,85.03,96.96778525,97.09936216
"Djibouti","DJI",NA,NA,NA,NA,58.34,58.719,65.064,65.893,794563,805451,929112,944097,475652,490369,606517,618964,76.807,76.853,77.528,77.648,8.27878,8.40625,NA,NA,1.270041159,1.62,13.13491511,55.68140925
"Dominica","DMA",6160.490127,6544.786678,7086.78213,6397.83469,NA,NA,NA,NA,70718,70795,71307,71458,NA,NA,NA,NA,66.903,67.203,69.88,70.181,NA,NA,NA,NA,39.3981743,40.27446301,67.03,69.61966879
"Dominican Republic","DOM",4829.713743,5121.123895,7084.626853,7325.808482,71.041,71.304,73.471,73.689,9218686,9338861,10397743,10513131,5716033,5825944,6735370,6819805,68.71,70.02,79.436,80.277,NA,2.04679,NA,NA,14.84492837,17.66,63.87086474,67.57123468
"Ecuador","ECU",4372.091782,4393.724105,5176.058803,5205.76302,74.319,74.514,76.365,76.584,14059384,14296557,16491115,16785361,8688385,8876916,10641596,10857990,61.907,62.104,63.534,63.67,NA,NA,NA,NA,7.2,10.8,54.06292473,57.27224368
"Egypt, Arab Rep.","EGY",2254.510459,2372.38301,2761.386198,2817.320226,69.608,69.788,71.482,71.656,76873663,78232126,94447072,96442593,47445201,48580886,57809111,58865212,43.073,43.078,42.732,42.705,4.00178,3.68461,NA,NA,13.66,16.03,41.24806709,44.95020425
"El Salvador","SLV",2905.126477,2946.378573,3381.232052,3441.951675,70.333,70.542,72.644,72.872,6079399,6105810,6356143,6388122,3610781,3653950,4082038,4117123,62.187,62.774,70.501,71.275,3.49298,3.60985,3.86991,3.75133,5.5,6.11,28.99707305,33.8207289
"Equatorial Guinea","GNQ",16575.08227,18243.23875,12346.25956,11331.1528,54.638,54.842,57.713,58.061,784496,821687,1215179,1262001,450914,475005,729635,760118,59.431,61.1,71.138,71.646,NA,NA,NA,NA,1.279193596,1.557123059,23.77999997,26.23999996
"Eritrea","ERI",746.8417515,737.6964689,NA,NA,59.487,60.243,65.111,65.538,2918205,2996536,NA,NA,1677007,1717648,NA,NA,32.051,33.017,NA,NA,2.127,NA,NA,NA,NA,0.41,1.17711872,1.30890698
"Estonia","EST",16285.00672,17627.02972,18387.76907,19257.47617,72.69146341,72.81463415,77.64146341,77.64146341,1346810,1340680,1315790,1317384,915809,910562,852779,849251,68.607,68.479,68.563,68.717,NA,4.66396,5.17316,NA,63.51,66.19,87.24023275,88.10245687
"Eswatini","SWZ",3859.651983,4005.481403,4795.793891,4838.844104,42.733,43.308,56.962,58.319,1036092,1042652,1113984,1124753,575797,581257,639047,648394,21.91,21.829,23.459,23.625,6.55476,NA,NA,NA,3.696538789,4.1,28.57352278,47
"Ethiopia","ETH",252.2122882,273.4921198,514.0573068,548.1174956,57.334,58.467,65.482,65.872,78489206,80674348,103603501,106400024,39672219,40942615,56781182,58798112,15.899,16.116,19.866,20.31,5.49096,5.45113,NA,NA,0.310592657,0.37,15.36692386,18.61805145
"Faroe Islands","FRO",NA,NA,NA,NA,79.6902439,79.8902439,82.19756098,82.4,47792,47825,48173,48331,NA,NA,NA,NA,40.147,40.341,41.777,41.914,NA,NA,NA,NA,69.35944512,75.98,95.10868167,97.58195894
"Fiji","FJI",3729.934323,3661.40876,4455.187559,4658.932581,66.362,66.413,67.175,67.252,827870,836190,872399,877459,541439,548001,568080,570845,50.264,50.657,55.235,55.742,5.60714,5.84843,NA,NA,9.6000384,10.89783105,46.50697831,49.96637301
"Finland","FIN",47011.6576,49239.19396,46438.82274,47739.94383,79.21463415,79.26341463,81.42926829,81.42926829,5266268,5288720,5495303,5508214,3507533,3523576,3455182,3440986,83.037,83.168,85.275,85.325,5.9381,5.68609,6.89735,NA,79.66,80.78,87.70364996,87.46892907
"France","FRA",40850.35554,41582.79972,42054.53126,43001.59129,80.81219512,81.11219512,82.52439024,82.52439024,63621381,64016225,66859768,66865144,41357728,41605999,41767527,41604279,77.377,77.621,79.917,80.18,5.45718,5.45728,5.43259,NA,46.87,66.09,79.26981132,80.50245972
"French Polynesia","PYF",NA,NA,NA,NA,74.466,74.793,77.024,77.251,261010,262721,274575,276103,175592,177503,190332,191073,58.002,58.585,61.734,61.784,NA,NA,NA,NA,25.10796425,28.59,68.44041949,72.70389531
"Gabon","GAB",9134.559689,9404.4083,9419.856712,9203.993561,58.641,59.229,65.418,65.839,1430152,1472575,2007873,2064823,808607,840871,1200819,1230495,83.107,83.742,88.559,88.976,NA,NA,NA,NA,5.489200803,5.767004576,48.05227375,62
"Gambia, The","GMB",481.3363054,484.0903839,493.8754303,501.2810151,58.313,58.671,61.166,61.44,1591445,1639848,2149139,2213894,815073,843260,1137057,1173526,52.751,53.481,59.918,60.599,1.20949,1.30849,2.05946,NA,5.237691158,6.205037419,18.5,19.83645444
"Georgia","GEO",2541.056422,2875.65642,4074.925708,4271.282289,70.635,70.765,73.207,73.414,3880347,3860158,3727505,3728004,2589823,2588599,2469523,2452928,53.992,54.379,57.837,58.231,3.00364,2.69687,3.78477,3.84973,7.526876845,8.26,58.45928961,59.7055046
"Germany","DEU",40456.85738,41831.86709,46167.83078,46987.78798,79.13170732,79.53414634,80.9902439,80.9902439,82376451,82266372,82348669,82657002,54784420,54552203,53852728,53874035,76.179,76.378,77.224,77.261,4.2793,4.34303,4.80093,NA,72.16,75.16,84.16520664,84.39550077
"Ghana","GHA",1115.849718,1134.697635,1643.448745,1738.251931,59.234,59.741,63.124,63.463,22379055,22963946,28481946,29121471,12676254,13080121,16789140,17219574,47.988,48.669,54.749,55.407,5.25983,5.51987,4.48683,3.61798,2.723175973,3.85,34.66600065,39
"Gibraltar","GIB",NA,NA,NA,NA,NA,NA,NA,NA,33417,33517,33737,33728,NA,NA,NA,NA,100,100,100,100,NA,NA,NA,NA,45.29864751,51.61,94.44447158,NA
"Greece","GRC",29176.39287,30054.88939,22666.28624,23052.98624,79.43902439,79.43902439,81.38780488,81.38780488,11020362,11048473,10775971,10754679,7383789,7368441,6952093,6925566,74.827,75.199,78.387,78.724,NA,NA,NA,NA,32.25,35.88,69.08791547,70.54943345
"Greenland","GRL",39539.91571,40626.78143,47974.07317,48460.75141,69.51926829,69.98268293,NA,NA,56774,56555,56186,56171,NA,NA,NA,NA,83.172,83.482,86.326,86.574,NA,NA,NA,NA,59.36168727,61.07,68.50087368,69.48246178
